"","IBCSplitCode","IBCCodeDescription","CleanText"
"1","0742a00","Livestock or cattle dealer - incl. sales, stables, commercial feedlot","livestock or cattle dealer - incl. sales, stables, commercial feedlot"
"2","0190f20","Personal Property Storage - owned (IBC Split Code applies only to Product = Farm)","personal property storage - owned ( )"
"3","0190f10","Personal Property Storage - non-owned (IBC Split Code applies only to Product = Farm)","personal property storage - non-owned ( )"
"4","6411a00","Accountants/Auditors","accountants auditors"
"5","3297a00","Abrasives","abrasives"
"6","0190e40","Farm Machinery - motorized Storage (IBC Split Code applies only to Product = Farm)","farm machinery - motorized storage ( )"
"7","7408r00","Adoption Agencies","adoption agencies"
"8","7312a00","Advertising agencies","advertising agencies"
"9","7311a00","Advertising sign companies - outdoor","advertising sign companies - outdoor"
"10","0190e30","Farm Machinery - non motorized Storage (IBC Split Code applies only to Product = Farm)","farm machinery - non motorized storage ( )"
"11","0190e20","Recreational Vehicle Storage including travel trailers (IBC Split Code applies only to Product = Farm)","recreational vehicle storage including travel trailers ( )"
"12","0190e10","Private Passenger Vehicle Storage (IBC Split Code applies only to Product = Farm)","private passenger vehicle storage ( )"
"13","2811z00","Acids, petrochemicals, chemicals NOC, incl ammonia antifreeze, benzoil","acids, petrochemicals, chemicals noc, incl ammonia antifreeze, benzoil"
"14","0190e00","Farm Vehicle Storage (IBC Split Code applies only to Product = Farm)","farm vehicle storage ( )"
"15","0190f00","Structures - Living Quarters (IBC Split Code applies only to Product = Farm)","structures - living quarters ( )"
"16","0190e50","Farm Machinery and Vehicle Repair (IBC Split Code applies only to Product = Farm)","farm machinery and vehicle repair ( )"
"17","1717a00","Air conditioning equipment installation - incl. heat pumps","air conditioning equipment installation - incl. heat pumps"
"18","4580a00","Aircraft hangars / maintenance shops, storage - Property only","aircraft hangars maintenance shops, storage - property only"
"19","7396a00","Alarm system installation - excl. repair of fire suppression equipment - no monitoring","alarm system installation - "
"20","0190b00","Alpacas / Llamas","alpacas llamas"
"21","8111a00","Alternative dispute resolution firms (mediators/arbitrators)","alternative dispute resolution firms (mediators arbitrators)"
"22","0190z00","Animal Farms - NOC","animal farms - noc"
"23","0190g10","Farm Property - excluding chemicals, fuels, oils, livestock, produce (IBC Split Code applies only to Product = Farm)","farm property - "
"24","0190g00","Farm Property -chemicals, fuels and oils (IBC Split Code applies only to Product = Farm)","farm property -chemicals, fuels and oils ( )"
"25","7403a00","Answering Services - Incl alarm monitoring","answering services - incl alarm monitoring"
"26","0190f30","Farm Office (IBC Split Code applies only to Product = Farm)","farm office ( )"
