"IBCSplitCode","AMBestDoc"
"0110a00","farming - mushrooms.htm"
"0121a00","farming - orchards.htm"
"0121b00","farming - orchards.htm"
"0121c00","farming - mushrooms.htm"
"0121c90","farming - vegetables and melons.htm"
"0121d00","farming - vegetables and melons.htm"
"0122a00","farming - vegetables and melons.htm"
"0123a00","nurseries - wholesale and retail.htm"
"0130a00","farming - dairy.htm"
"0140a00","breeding farms - horses.htm"
"0141a00","stables and riding academies.htm"
"0141a10","stables and riding academies.htm"
"0142a00","artificial insemination for cattle breeding.htm"
"0150a10","poultry - table egg production.htm"
"0150a20","poultry - raising.htm"
"0150z00","breeding farms - ratite birds.htm"
"0160a00","feedlots.htm"
"0170a00","hog confinement facilities.htm"
"0190a00","feedlots.htm"
"0190b00","feedlots.htm"
"0190c00","feedlots.htm"
"0190d00","apiaries - commercial.htm"
"0190e00","farm machinery and power equipment dealers.htm"
"0190e10","farm machinery and power equipment dealers.htm"
"0190e20","self-storage facilities.htm"
"0190e30","farm machinery and power equipment dealers.htm"
"0190e40","farm machinery and power equipment dealers.htm"
"0190e50","farm machinery and power equipment dealers.htm"
"0190f00","apartments cooperatives and condominiums.htm"
"0190f10","public warehouses.htm"
"0190f20","self-storage facilities.htm"
"0190f30","apartments cooperatives and condominiums.htm"
"0190g00","public warehouses.htm"
"0190g10","public warehouses.htm"
"0190z00","breeding farms - small animal.htm"
"0190z10","breeding farms - small animal.htm"
"0190z90","feedlots.htm"
"0200a00","farming - tobacco.htm"
"0210a00","breeding farms - small animal.htm"
"0630a00","nurseries - wholesale and retail.htm"
"0730a00","artificial insemination for cattle breeding.htm"
"0730b00","farming - turfgrass sod.htm"
"0730c00","grading of land.htm"
"0730z00","nurseries - wholesale and retail.htm"
"0731a10","farming - cash grains.htm"
"0731a20","farming - cash grains.htm"
"0731a30","farm machinery and power equipment dealers.htm"
"0731a40","seed processors.htm"
"0731a50","grading of land.htm"
"0733a00","aerial application contractors.htm"
"0734a00","nurseries - wholesale and retail.htm"
"0735a00","lawn care and landscaping contractors.htm"
"0735b00","lawn care and landscaping contractors.htm"
"0735x00","oil or gas well drilling contractors.htm"
"0736a00","tree care services.htm"
"0737a00","animal hospitals.htm"
"0738a00","pet sitters.htm"
"0738b00","kennels - boarding.htm"
"0741a00","auctioneers and auction houses.htm"
"0742a00","feedlots.htm"
"0791a00","logging.htm"
"0981a00","aquaculture operations.htm"
"0982a00","commercial fishing.htm"
"0982b00","charter boat fishing.htm"
"1001a00","blasting contractors.htm"
"1002a00","blasting contractors.htm"
"1101a00","mining - coal - surface.htm"
"1102a00","mining - coal - surface.htm"
"1391a00","oil or gas well drilling contractors.htm"
"1392a00","oil or gas well drilling contractors.htm"
"1393a10","oil or gas well drilling contractors.htm"
"1393a20","excavation contractors.htm"
"1393b00","oil or gas well drilling contractors.htm"
"1393c00","oil or gas well drilling contractors.htm"
"1393z00","oil or gas well drilling contractors.htm"
"1394a00","oil or gas well drilling contractors.htm"
"1394a20","oil or gas well drilling contractors.htm"
"1394a30","oil or gas well drilling contractors.htm"
"1394a40","oil or gas well drilling contractors.htm"
"1394a50","oil or gas well drilling contractors.htm"
"1394a60","oil or gas well drilling contractors.htm"
"1394a70","oil or gas well drilling contractors.htm"
"1394a90","oil or gas well drilling contractors.htm"
"1394b00","oil or gas well drilling contractors.htm"
"1394b10","oil or gas well drilling contractors.htm"
"1394b20","oil or gas well drilling contractors.htm"
"1394c00","oil or gas well drilling contractors.htm"
"1394d00","oil or gas well drilling contractors.htm"
"1394e00","oil or gas well drilling contractors.htm"
"1394e10","oil or gas well drilling contractors.htm"
"1394e20","oil or gas well drilling contractors.htm"
"1394f10","oil or gas well drilling contractors.htm"
"1394f20","oil or gas well drilling contractors.htm"
"1394g00","oil or gas well drilling contractors.htm"
"1394g10","oil or gas well drilling contractors.htm"
"1394h00","grading of land.htm"
"1394h10","environmental consulting firms.htm"
"1394h20","grading of land.htm"
"1394h30","excavation contractors.htm"
"1394i00","oil or gas well drilling contractors.htm"
"1394i10","oil or gas well drilling contractors.htm"
"1394i20","oil or gas well drilling contractors.htm"
"1394i30","oil or gas well drilling contractors.htm"
"1394i40","oil or gas well drilling contractors.htm"
"1394j00","oil or gas well drilling contractors.htm"
"1394k00","oil or gas well drilling contractors.htm"
"1394k10","oil or gas well drilling contractors.htm"
"1394z00","oil or gas well drilling contractors.htm"
"1395a00","oil or gas well drilling contractors.htm"
"1395a10","oil or gas well drilling contractors.htm"
"1395b00","oil or gas well drilling contractors.htm"
"1395b10","oil or gas well drilling contractors.htm"
"1395b20","oil or gas well drilling contractors.htm"
"1395b30","oil or gas well drilling contractors.htm"
"1395b40","oil or gas well drilling contractors.htm"
"1395b50","oil or gas well drilling contractors.htm"
"1395b60","oil or gas well drilling contractors.htm"
"1395c00","oil or gas well drilling contractors.htm"
"1395c10","oil or gas well drilling contractors.htm"
"1396a00","oil or gas well drilling contractors.htm"
"1396b00","oil or gas well drilling contractors.htm"
"1397a00","surveyors - land.htm"
"1397a10","computer-aided mapping services.htm"
"1397b10","surveyors - land.htm"
"1398a00","welding brazing and cutting.htm"
"1398b00","welding brazing and cutting.htm"
"1398c00","welding brazing and cutting.htm"
"1401a00","mining - crushed stone.htm"
"1402a00","mining - construction sand and gravel.htm"
"1403a00","mining - crushed stone.htm"
"1403z00","mining - crushed stone.htm"
"1404a00","mining - crushed stone.htm"
"1511a00","building construction - general contractors.htm"
"1511b00","trucking - specialized carriers.htm"
"1512z00","demolition contractors.htm"
"1513a00","building construction - general contractors.htm"
"1514a00","pile driving contractors.htm"
"1515a00","blasting contractors.htm"
"1521a00","paving contractors - concrete.htm"
"1522a00","fence installation contractors and retailers.htm"
"1523a00","paving contractors - asphalt.htm"
"1524a00","water well drilling contractors.htm"
