IBCCode;IBCSplitCode;IBCCodeGroup;IBCSubGroup;SubIBCGroup_CG;IBCCodeDescription;RatingBasisType;RatingUnitType;PerRatingUnitQty;CookingFrying_CG;HighPiledStock_CG;CombFlammableLiquid_CG;Spraybooth_CG;PlasticManufacturing_CG;Welding_CG;Woodworking_CG;QualityControl_CG;ImportedStock_CG;SmartTanCertificate_CG;LiquorSales_CG;FoodSales_CG;BeautyCareSales_CG;MassageSales_CG;VLT_CG;ChildrensPlayground_CG;TennisSquashCourts_CG;ExerciseRoomGym_CG;Saunas_CG;SwimmingPools_CG;Spa_CG
0730;0730z00;Agriculture;Agriculture;FarmsOther;Agriculture, horticultural services, N.O.C. ( incl. Tree and Sod farms);Revenue;Dollars;1000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0190;0190b00;Agriculture;Agriculture;OtherAnimals;Alpacas / Llamas;Livestock;Alpacas/Llamas;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0190;0190z00;Agriculture;Agriculture;OtherAnimals;Animal Farms - NOC;Livestock;Others;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0190;0190d00;Agriculture;Agriculture;OtherAnimals;Apiaries;Unit;Hive;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0730;0730a00;Agriculture;Agriculture;FarmsOther;Artificial insemination firms (Agricultural);Revenue;Dollars;1000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
6411;6411aH0;Home Business;Home Business;HomeBusiness;Accounting services - clientele visit premises;Revenue;Dollars;1000;;;;;;;;;;;;;;;;;;;;;
6411;6411aH1;Home Business;Home Business;HomeBusiness;Accounting services - no clientele on premises;Revenue;Dollars;1000;;;;;;;;;;;;;;;;;;;;;
0150;0150z00;Agriculture;Agriculture;Poultry;Birds farms other than poultry;Livestock;Birds;100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0730;0730c00;Agriculture;Agriculture;FarmsOther;Brushcutting/Landclearing (IBC Split Code applies only to Product = Farm);Revenue;Dollars;1000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0160;0160a00;Agriculture;Agriculture;Cattle;Cattle farms - Beef, Buffalo, Bison;Livestock;Cattle;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
